Year,CLIENT_ID,NAME,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,COUNTRY,CREATED_DATE,ACTIVE
2011,12301,Mercy Hospital and Medical Center,2525 S. Michigan Avenue,,Chicago,IL,60616,United States,,Y
2011,12314,International Property Developers,404 W. Harrison,,Chicago,IL,60601,United States,,Y
2011,12315,Ten East Delaware LLC,"321 N. Clark , Ste. 2500",,Chicago,IL,60625,United States,,Y
2011,13630,"Tsang, Terry","2539 N. Kedzie, Ste. 6",,Chicag,Il,60647,United States,,Y
2011,13634,BRB Development,800 Frontage Rd,,Northfield,IL,60093,United States,,Y
2011,12323,"Harmening, Thomas (Mr. & Mrs.)",1834 N. Cleveland Ave.,,Chicago,IL,60614,United States,,Y
2011,13639,"Halsted Grace Ventures, LLC",4104 N. Harlem,,Norridge,IL,60706,United States,,Y
2011,13644,SOS Children's Village Illinois,"216 W Jackson Blvd, Ste. 925",,Chicago,IL,60606,United States,,Y
2011,13645,Solo Cup Co.,"150 S. Saunders Rd., Ste. 150",,Chicago,IL,60045,United States,,Y
2011,12348,United Airlines,77 West Wacker Dr,,Chicago,IL,60601,United States,,Y
2011,12350,"Quantum Crossings, LLC","111 East Wacker Drive, Ste. 990",,Chicago,IL,60601,United States,,Y
2011,12353,"Family Guidance Centers, Inc",310 W. Chicago Ave.,,Chicago,IL,60610,United States,,Y
2011,12354,CVS Caremark Corp,2211 Sanders Rd,,Northbrook,IL,60062,United States,,Y
2011,12359,Kinder Morgan Energy Partners,"3250 Lacey Rd., 7thy Flr",,Downers Grove,IL,60515,United States,,Y
2011,12382,Centrum Properties,225 W. Hubbard Street,,Chicago,IL,60610,United States,,Y
2011,13658,Chicago Children's Museum,700 E. Grand Ave. #127,,Chicago,IL,60611,United States,,Y
2011,12398,55th & State Redevelopment LLC,4554 S. Lake Park Ave.,,Chicago,IL,60653,United States,,Y
2011,13661,"Harris, N.A.","111 W. Monroe St., 7C South",,Chicago,IL,60603,United States,,Y
2011,12404,Cisco Systems,170 W. Tasman Dr.,,San Jose,CA,95134,United States,,Y
2011,12408,"D. B. Sterlin Consultants, Inc.","123 N. Wacker Dr., #2000",,Chicago,IL,60606,United States,,Y
2011,12412,Potbelly Sandwich Works,"222 Merchandise Mart Plaza, 23rd Flr",,Chicago,IL,60654,United States,,Y
2011,12415,Superior Ambulance,395 W. Lake St.,,Elmhurst,IL,60126,United States,,Y
2011,12419,Sedgwick Properties,"1525 W. Homer St., Ste. 401",,Chicago,IL,60622,United States,,Y
2011,12428,BMO Capital Markets GKST,115 S. LaSalle  37th Flr,,Chicago,IL,60603,United States,,Y
2011,12431,Credit Suisse Asset Management LLC,One Madison Ave,,New York,NY,10010,United States,,Y
2011,12441,Northwestern Memorial Hospital,211 E Ontario St. - Ste. 1750,,Chicago,IL,60611,United States,,Y
2011,12443,"Wal-Mart Stores, Inc.","702 SW 8th St., MS 0350",,Bentonville,AR,72716,United States,,Y
2011,13676,Com Cap Advisors,"1 S. Dearborn, Ste. 2100",,Chicago,IL,60603,United States,,Y
2011,12446,"Ansaldo STS USA, Inc",1000 Technology Dr,,Pittsburgh,PA,15219,United States,,Y
2011,12447,Ameresco Inc,"111 Speen St., Ste. 410",,Framingham,MA,01701,United States,,Y
2011,13686,RedFlex Traffic Systems,23751 N. 23rd Ave.  #150,,Phoenix,AZ,85085,United States,,Y
2011,12484,Nurse-Family Partnership,1900 Grant St.,,Denver,CO,80203,United States,,Y
2011,12490,Resurrection Health Care,7435 W. Talcott Ave.,,Chicago,IL,60631,United States,,Y
2011,13705,Centrum Properties,"225 W. Hubbard St., 4th Floor",,Chicago,IL,60610,United States,,Y
2011,13708,"Ogden North, LLC",666 Dundee Rd. #1102,,Northbrook,IL,60062,United States,,Y
2011,12512,Mercury Cruiselines,675 N. Court,,Palatine,IL,60067,United States,,Y
2011,12515,Roundy's,875 E. Wisconsin,,Milwaukee,WI,53202,United States,,Y
2011,12522,Canadian National %2f Illinois Central Railway,"601 Pennsylvania Ave., NW",,Washington,DC,20004,United States,,Y
2011,13717,Metra,547 W. Jackson Blvd.  15th Flr,,Chicago,IL,60661,United States,,Y
2011,13718,HOK,"30 W. Monroe St., #1500",,Chicago,IL,60603,United States,,Y
2011,13719,Centaru Construction LLC,833 N Orleans #300,,Chicago,Il,60603,United States,,Y
2011,13728,Chicago Botanic Garden,1000 Lake Cook Road,,Glenco,IL,60022,United States,,Y
2011,12556,"Bank of America Corp.%2f Bank of America,NA","1 Bryant Park, 12th Flr",,New York,NY,10036,United States,,Y
